iter	Passed	Remaining
1721	1341	2554
1722	1342	2552
1723	1343	2552
1724	1343	2550
1725	1343	2549
1726	1344	2547
1727	1344	2546
1728	1345	2544
1729	1345	2542
1730	1345	2541
1731	1345	2539
1732	1346	2538
1733	1347	2538
1734	1349	2539
1735	1349	2538
1736	1350	2536
1737	1350	2535
1738	1351	2533
1739	1351	2532
1740	1351	2530
1741	1352	2529
1742	1353	2528
1743	1353	2527
1744	1354	2526
1745	1355	2525
1746	1356	2524
1747	1358	2527
1748	1359	2527
1749	1361	2527
1750	1362	2527
1751	1363	2527
1752	1364	2527
1753	1365	2526
1754	1366	2526
1755	1367	2526
1756	1368	2526
1757	1370	2526
1758	1371	2527
1759	1373	2527
1760	1373	2526
1761	1373	2524
1762	1374	2523
1763	1374	2522
1764	1375	2520
1765	1375	2519
1766	1376	2517
1767	1377	2517
1768	1377	2516
1769	1378	2515
1770	1379	2514
1771	1380	2513
1772	1381	2514
1773	1385	2519
1774	1386	2518
1775	1387	2519
1776	1389	2520
1777	1390	2519
1778	1391	2519
1779	1393	2521
1780	1396	2524
1781	1398	2525
1782	1401	2528
1783	1401	2527
1784	1402	2525
1785	1402	2524
1786	1403	2522
1787	1403	2521
1788	1403	2519
1789	1404	2518
1790	1404	2516
1791	1404	2515
1792	1405	2513
